width,height
Chrome (all),62.62
Firefox 5+,14.68
IE 11.0,7.87
Safari 10.0,3.23
Edge 14,3.05
Opera 15+,1.38
Safari 9.1,1.01
IE 8.0,0.86
IE 9.0,0.54
IE 10.0,0.53
Edge 13,0.37
Safari 9.0,0.24
Safari 8.0,0.22
Chromium (all),0.2
Yandex Browser 16.11,0.19
Opera 12.1,0.18
Yandex Browser 17.1,0.16
Sogou Explorer 0,0.15
360 Safe Browser 0,0.13
Safari 5.1,0.13
Edge 12,0.12
Coc Coc 58.3,0.09
Coc Coc 60.4,0.09
QQ Browser 9.5,0.08
Safari 5.0,0.08
Safari 6.1,0.08
UC Browser 5.7,0.08
Safari 6.2,0.08
Coc Coc 56.3,0.07
UC Browser 5.6,0.07
UC Browser 6.0,0.06
Maxthon 4.4,0.06
Firefox 3.0,0.06
Coc Coc 55.2,0.06
Yandex Browser 16.10,0.06
IE 6.0,0.05
Maxthon 4.9,0.05
Safari 7.0,0.05
IE 7.0,0.05
Firefox 3.6,0.04
Opera 12.5,0.04
Firefox 2.0,0.04
Yandex Browser 17.3,0.04
Mozilla 0,0.04
Phantom 0,0.04
Opera 10.0,0.03
Opera 7.1,0.03
Safari 2.0,0.03
UC Browser 6.1,0.02
Maxthon 5.0,0.02
Safari 3.0,0.02
Safari 4.0,0.02
Safari 7.1,0.02
Coc Coc 61.4,0.02
Safari 6.0,0.02
Opera 12.0,0.02
Firefox 4.0,0.02
Amigo 54.0,0.01
Edge 15,0.01
Vivaldi 1.6,0.01
Yandex Browser 16.6,0.01
Safari 10.1,0.01
IE 0,0.01
Microsoft-WebDAV 0,0.01
Pale Moon 27.0,0.01
Opera 11.6,0.01
Maxthon 1.0,0.01
Firefox 3.5,0.01
Other,0.29
